Tipo_Infraccion;Par_Vuelos;Pista;Tiempo_s;Distancia_NM;Altitud_ft;Detalle
RADAR;UPS242-VLG365N;LEBL-06R;17611.0;0.7000099261339686;23.750.064.425.750.900;HORIZONTAL SEPARATION
RADAR;VLG1265-VLG73QE;LEBL-24L;18719.0;0.016751013121337546;45.000.007.108.345.000;OPERATIONAL SEPARATION
RADAR;VLG4SW-VLG4VF;LEBL-24L;19102.0;2.980.689.707.795.090;5.002.001.598.323.020;OPERATIONAL SEPARATION
RADAR;DLH03K-VLG593U;LEBL-24L;19230.0;0.08119000915538403;292.499.973.936.754;HORIZONTAL SEPARATION
RADAR;VLG38HJ-IBE04RC;LEBL-24L;19406.0;11.979.030.122.201.100;9.000.241.899.554.200;OPERATIONAL SEPARATION
RADAR;IBE04RC-EJU14CG;LEBL-24L;19306.0;28.534.097.250.208.600;1.924.997.726.046.530;HORIZONTAL SEPARATION
RADAR;EJU14CG-VLG23TK;LEBL-24L;19553.0;0.3840426900863698;9.250.075.075.840.890;OPERATIONAL SEPARATION
RADAR;VLG23TK-VLG7830;LEBL-24L;19637.0;21.256.011.131.906.200;16.750.538.604.947.000;HORIZONTAL SEPARATION
RADAR;VLG7830-VLG6UW;LEBL-24L;19553.0;28.746.877.809.010.400;17.499.976.600.325.000;HORIZONTAL SEPARATION
RADAR;VLG6UW-VLG3BV;LEBL-24L;19809.0;2.282.690.108.390.020;7.750.629.393.229.700;OPERATIONAL SEPARATION
RADAR;VLG3BV-VLG2472;LEBL-24L;19909.0;2.567.726.581.184.310;25.072.261.904.309.900;OPERATIONAL SEPARATION
RADAR;VLG2472-VLG3LK;LEBL-24L;19993.0;12.440.671.678.985.300;249.862.560.217.598;OPERATIONAL SEPARATION
RADAR;VLG3LK-VLG55PB;LEBL-24L;20089.0;0.059930536794813645;12.250.012.517.523.200;HORIZONTAL SEPARATION
RADAR;VLG55PB-VLG56ND;LEBL-24L;20165.0;28.818.294.679.076.200;0.07158199009063537;OPERATIONAL SEPARATION
RADAR;VLG56ND-VLG1PT;LEBL-24L;20244.0;20.606.196.532.754.500;57.495.118.488.961;OPERATIONAL SEPARATION
RADAR;VLG1PT-VLG11TT;LEBL-24L;20308.0;21.269.401.662.101.700;25.055.668.522.129.900;OPERATIONAL SEPARATION
RADAR;VLG11TT-VLG15SY;LEBL-24L;20412.0;19.653.792.403.015.700;4.749.527.877.888.100;OPERATIONAL SEPARATION
RADAR;VLG15SY-VLG7EY;LEBL-24L;20520.0;0.7890700721256938;14.250.213.128.186.600;HORIZONTAL SEPARATION
RADAR;VLG76GZ-VLG68LT;LEBL-24L;20684.0;0.06748521235949782;8.999.997.656.962.290;OPERATIONAL SEPARATION
RADAR;VLG68LT-VLG5YL;LEBL-24L;20764.0;25.550.775.798.608.100;32.492.844.954.054;OPERATIONAL SEPARATION
RADAR;VLG5YL-RYR2SY;LEBL-24L;20820.0;2.651.940.842.681.620;249.364.322.454.594;OPERATIONAL SEPARATION
RADAR;RYR2SY-VLG2QW;LEBL-24L;20892.0;18.809.264.908.229.100;72.495.730.025.586;OPERATIONAL SEPARATION
RADAR;VLG2QW-VLG3TC;LEBL-24L;20960.0;24.335.750.346.128.600;15.250.609.233.860.800;HORIZONTAL SEPARATION
RADAR;VLG3TC-VLG84ZE;LEBL-24L;21072.0;1.782.621.908.283.280;50.055.794.702.710.000;OPERATIONAL SEPARATION
RADAR;VLG6FZ-VLG9VG;LEBL-24L;21135.0;25.225.745.406.871.200;16.312.437.521.778.900;HORIZONTAL SEPARATION
