CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y;z
CAT048;20;129;05:44:48:711;41,27981422;2,06977746;190,499035557732;624,996855819229;1,925781;229,383545;1000,0;6,25;4D2240;RYR2SY;1014,2;;;;;;-127,089844;150,0;0,228;2208,0;2304,0;1034;156,86;234,0747;No alert, no SPI, aircraft airbone;31607,482285050803;18293,473440973252;190,499035557732
CAT048;20;129;05:44:49:320;41,30228427;2,09368514;-9,71667468547821e-05;-0,000318788549751;0,390625;284,067993;5005,0;-0,75;4CA9EB;RYR7EK;1014,0;;;;;;-113,90625;120,0;0,18;-32,0;-64,0;139;131,56;245,7697;No alert, no SPI, aircraft airbone;33598,91895216605;20797,945624092587;-9,71667468547821e-05
CAT048;20;129;05:44:50:844;41,32787309;2,16852637;304,794604543597;999,982330370813;3,421875;61,512451;1000,0;10,0;4CADE0;RYR64ZN;1014,0;0,176;-114,785;168.0;0,094;166,0;-114,257812;160,0;0,248;-832,0;-864,0;197;168,3;245,4126;No alert, no SPI, aircraft airbone;39851,26807002004;23671,44440879325;304,794604543597
CAT048;20;129;05:44:50:867;41,36270899;2,27085991;701,004141095094;2299,88242627043;8,496094;63,962402;6317,0;23,0;347601;VLG1XG;1014,0;;;;;;-114,257812;185,0;0,292;-64,0;-32,0;402;196,24;245,918;No alert, no SPI, aircraft airbone;48392,53354379226;27592,271064967244;701,004141095094
CAT048;20;129;05:44:52:391;41,21284984;2,0572875;800,106285785325;2625,02070665593;5,660156;201,049805;432,0;26,25;344646;VLG5YL;1014,0;;;;;;-178,59375;225,0;0,356;2976,0;2976,0;3566;244,2;180,7031;No alert, no SPI, aircraft airbone;30592,26047772413;10852,047914512154;800,106285785325
CAT048;20;129;05:44:52:500;41,16059502;1,99134255;1661,16586316284;5450,01941049917;9,824219;210,855103;1000,0;54,5;346690;VLG68LT;1014,0;;;;;;-129,023438;215,0;0,356;2720,0;2688,0;1788;242,66;232,3718;No alert, no SPI, aircraft airbone;25081,774946792844;5027,685377828374;1661,16586316284
CAT048;20;129;05:44:52:703;41,27776366;2,06713519;236,21888963785;774,996381879444;2,097656;228,960571;1000,0;7,75;4D2240;RYR2SY;1014,2;;;;;;-139,21875;154,0;0,236;2528,0;2400,0;1034;157,74;226,2799;No alert, no SPI, aircraft airbone;31387,097427985293;18064,783235499894;236,21888963785
CAT048;20;129;05:44:53:211;41,30141444;2,0911336;-0,0001693544909358;-0,0005556249880418;0,496094;274,943848;5005,0;-0,75;4CA9EB;RYR7EK;1014,0;;;;;;-113,730469;103,0;0,156;-288,0;-128,0;139;114,18;245,6763;No alert, no SPI, aircraft airbone;33385,67144965982;20700,36001333752;-0,0001693544909358
CAT048;20;129;05:44:54:836;41,32659355;2,16483108;289,555201667361;949,984287838345;3,238281;61,298218;1000,0;9,5;4CADE0;RYR64ZN;1014,0;;;;;;-113,730469;156,0;0,24;-928,0;-736,0;197;165,22;245,2972;No alert, no SPI, aircraft airbone;39542,68287009002;23527,65150525183;289,555201667361
CAT048;20;129;05:44:54:867;41,36124953;2,266514;693,385982618667;2274,88846721463;8,28125;63,912964;6317,0;22,75;347601;VLG1XG;1014,0;0,0;-114,258;196.0;0,062;196,0;-114,257812;184,0;0,288;-96,0;96,0;402;195,36;245,7971;No alert, no SPI, aircraft airbone;48029,97333005643;27427,77199794949;693,385982618667
