CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG.1;STAT;x;y
CAT048;20;129;10:24:40:578;41,31491402;2,1307918;121,9190664161;399,996949860596;1,554688;56,727905;1000,0;4,0;471DB4;WMT3025;1015;;;;;;-115,839844;131;0,2;-736;-704;733;141,02;245,2478;No alert, no SPI, aircraft airbone;19,816381607937902;11,99534440795303
CAT048;20;129;10:24:40:656;41,36115889;2,26634715;746,726047420874;2449,8886854203;8,273438;63,92395;1000,0;24,5;345116;VLG55UB;1015;;;;;;-116,367188;158;0,248;-736;-800;2297;178,2;245,4456;No alert, no SPI, aircraft airbone;25,926989569093692;14,804108133235589
CAT048;20;129;10:24:40:641;41,33352537;2,18622752;396,231223803014;1299,97124830188;4,289062;62,62207;1000,0;13,0;3475DA;VLG593E;1015;-0,176;-114,082;178;-0,438;168;-113,90625;161;0,248;-1088;-960;944;177,76;245,7422;No alert, no SPI, aircraft airbone;22,316477321647586;13,124816285589954
CAT048;20;129;10:24:42:227;41,22196131;2,05245806;822,963839590549;2700,01268348226;5,246094;205,438843;441,0;27,0;4D227B;RYR7543;1015,2;;;;;;175,957031;210;0,332;3072;3072;76;223,74;176,1493;No alert, no SPI, aircraft airbone;16,29765766581976;6,405000820651817
CAT048;20;129;10:24:42:414;41,28541918;2,08364986;-0,0002059657126665;-0,0006757405487447;1,238281;222,258911;1000,0;-0,5;34744C;VLG17WR;1015;-1,582;-114,258;164;0,375;164;-117,070312;160;0,24;736;928;3949;160,38;245,6708;No alert, no SPI, aircraft airbone;17,692880741722302;10,216470058755695
CAT048;20;129;10:24:43:523;41,5003489;1,89922318;883,90834845975;2899,96186596069;15,082031;322,651978;7375,0;29,0;34830A;BSO2LC;;;;;;;;;;;;14;102,96;277,8113;No alert, no SPI, aircraft airbone;9,320109091567817;23,077178263917023
CAT048;20;129;10:24:43:586;41,51982376;1,92167583;731,529995308258;2400,03286980714;15,464844;328,271484;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;93,72;50,0153;No alert, no SPI, aircraft airbone;10,329326703414749;24,247649995333973
CAT048;20;129;10:24:43:875;41,45184423;2,07884319;739,165962697938;2425,0852570579;9,132812;353,408203;7050,0;24,25;343450;ECLBE;1016;;;;;;-119,707031;137;0,216;160;NV;2685;137,94;242,5177;No alert, no SPI, aircraft airbone;17,431262755288877;20,19586985554607
CAT048;20;129;10:24:44:664;41,38715166;2,34307282;1112,4464908205;3649,75894494352;12,078125;64,467773;741,0;36,5;4ACA07;NOZ4CW;1015;0,527;-114,258;196;0,062;194;-114,960938;178;0,288;-1120;-1088;2635;196,68;245,6488;No alert, no SPI, aircraft airbone;29,381903858498696;16,387189201500853
CAT048;20;129;10:24:44:664;41,42732098;2,46155712;1668,61582926661;5474,46155729106;17,953125;64,824829;2243,0;54,75;C0656F;WJA8;1015;-0,176;-114,082;232;-0,031;226;-114,609375;203;0,34;-1120;-1184;2446;231,22;245,9839;No alert, no SPI, aircraft airbone;34,71176084981848;18,83965629006218
CAT048;20;129;10:24:44:672;41,46194676;2,57174872;1386,55827926379;4549,0758649398;23,328125;65,341187;5001,0;45,5;347696;VLG1254;1015;;;;;;-105,292969;199;0,328;-384;-352;3193;221,54;255,0806;No alert, no SPI, aircraft airbone;39,66433119236357;20,963161230135455
CAT048;20;129;10:24:44:563;41,3138805;2,12776111;114,299267020077;374,997607210148;1,40625;55,777588;1000,0;3,75;471DB4;WMT3025;1015;0;-114,258;140;0;134;-116,191406;130;0,2;-704;-704;733;141,46;245,7861;No alert, no SPI, aircraft airbone;19,679664317454943;11,93268041071033
CAT048;20;129;10:24:44:641;41,33217727;2,18219943;373,372059970163;1224,97398923251;4,089844;62,457275;1000,0;12,25;3475DA;VLG593E;1015;;;;;;-113,203125;161;0,248;-1088;-992;944;177,32;246,0333;No alert, no SPI, aircraft airbone;22,134860955852933;13,042947012948288
CAT048;20;129;10:24:44:656;41,35977512;2,26234176;731,487694755197;2399,89408846064;8,074219;63,890991;1000,0;24,0;345116;VLG55UB;1015;0,176;-114,434;178;0,156;168;-116,191406;158;0,252;-832;-800;2297;178,2;245,4456;No alert, no SPI, aircraft airbone;25,746564018126037;14,71993904967932
CAT048;20;129;10:24:46:211;41,21798606;2,05287563;891,544658670202;2925,01537795155;5,457031;204,180908;441,0;29,25;4D227B;RYR7543;1015,2;;;;;;175,78125;209;0,332;2880;3040;76;223,74;176,1493;No alert, no SPI, aircraft airbone;16,31754712947429;6,166695538964711
CAT048;20;129;10:24:46:445;41,28408558;2,07987501;30,4796268315986;99,9987788941819;1,414062;225,203247;1000,0;1,0;34744C;VLG17WR;1015;;;;;;-117,949219;160;0,244;2112;2336;3949;168,3;245,4126;No alert, no SPI, aircraft airbone;17,522486926898463;10,135735778194048
CAT048;20;129;10:24:47:523;41,50056956;1,89676481;883,907032365911;2899,95754806737;15,160156;322,349854;7375,0;29,0;34830A;BSO2LC;;;;;;;;;;;;14;102,74;276,7072;No alert, no SPI, aircraft airbone;9,209241101876135;23,09015016403874
CAT048;20;129;10:24:47:594;41,52088549;1,92347149;731,531448232941;2400,03763662056;15,476562;328,650513;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;93,72;50,1086;No alert, no SPI, aircraft airbone;10,410092101636453;24,31153764597401
CAT048;20;129;10:24:47:852;41,45055794;2,07562831;739,165285485797;2425,08303523322;9,074219;352,441406;7050,0;24,25;343450;ECLBE;1016;;;;;;-120,761719;139;0,22;128;NV;2685;139,48;242,7484;No alert, no SPI, aircraft airbone;17,286550198719038;20,118090187039645
CAT048;20;129;10:24:48:547;41,31283398;2,12462729;99,0594503413886;324,998207058041;1,253906;54,508667;1000,0;3,25;471DB4;WMT3025;1015;;;;;;-115,839844;134;0,204;-736;-704;733;141,46;245,7861;No alert, no SPI, aircraft airbone;19,538283615971473;11,869218507840491
CAT048;20;129;10:24:48:656;41,3856519;2,33875671;1097,20910846908;3599,76753142968;11,863281;64,456787;741,0;36,0;4ACA07;NOZ4CW;1015;;;;;;-114,609375;176;0,284;-1184;-1184;2635;194,04;245,9454;No alert, no SPI, aircraft airbone;29,187641579705364;16,295800932889616
CAT048;20;129;10:24:48:656;41,4255895;2,45643187;1645,76049525477;5399,47686325166;17,699219;64,813843;2243,0;54,0;C0656F;WJA8;1015;;;;;;-114,785156;202;0,336;-928;-1088;2446;229,24;245,7806;No alert, no SPI, aircraft airbone;34,48134122068344;18,733786633699054
CAT048;20;129;10:24:48:664;41,46087999;2,56659313;1378,94468927477;4524,09689436022;23,089844;65,247803;5001,0;45,25;347696;VLG1254;1015;-3,691;-106,523;222;-0,375;218;-106,699219;199;0,328;-352;-320;3193;222,2;253,5205;No alert, no SPI, aircraft airbone;39,43239772454307;20,896847849659295
CAT048;20;129;10:24:48:648;41,35843899;2,25840179;716,249278663658;2349,89928341087;7,878906;63,847046;1000,0;23,5;345116;VLG55UB;1015;;;;;;-116,191406;159;0,252;-896;-864;2297;179,08;245,5774;No alert, no SPI, aircraft airbone;25,56906815793515;14,638654369394848
CAT048;20;129;10:24:48:633;41,33086266;2,17824004;358,132841976359;1174,97655326972;3,894531;62,270508;1000,0;11,75;3475DA;VLG593E;1015;;;;;;-113,378906;160;0,248;-928;-800;944;176,66;246,6266;No alert, no SPI, aircraft airbone;21,956331300426903;12,963111782837379
CAT048;20;129;10:24:50:195;41,21385722;2,05320703;944,885534597561;3100,01825732906;5,679688;203,016357;441,0;31,0;4D227B;RYR7543;1015,2;-0,879;176,133;224;-0,031;224;175,605469;208;0,332;2976;2848;76;223,74;176,1493;No alert, no SPI, aircraft airbone;16,333574879592422;5,919164181013237
CAT048;20;129;10:24:51:516;41,50082748;1,89424425;883,90568010509;2899,95311151598;15,242188;322,047729;7375,0;29,0;34830A;BSO2LC;;;;;;;;;;;;14;102,52;275,0372;No alert, no SPI, aircraft airbone;9,095564830723683;23,105353237971805
CAT048;20;129;10:24:51:594;41,52193892;1,92527798;731,532895730808;2400,04238562947;15,488281;329,029541;7351,0;24,0;347243;ARK3BZS;;;;;;;;;;;;1298;93,5;50,246;No alert, no SPI, aircraft airbone;10,491344316862277;24,374930520355424
CAT048;20;129;10:24:51:836;41,44941591;2,07233121;739,164625927806;2425,08087132898;9,027344;351,447144;7050,0;24,25;343450;ECLBE;1016;18,457;-114,258;152;NV;152;-118,652344;142;0,224;96;NV;2685;141,02;243,0176;No alert, no SPI, aircraft airbone;17,138084428198376;20,04895106275721
CAT048;20;129;10:24:52:523;41,3116943;2,12134816;83,8196139466017;274,998742220569;1,09375;52,915649;1000,0;2,75;471DB4;WMT3025;1015;;;;;;-116,367188;133;0,2;-704;-736;733;141,9;245,4181;No alert, no SPI, aircraft airbone;19,390355640111785;11,800142782521714
