CAT;SAC;SIC;Time;LAT;LON;H(m);H(ft);RHO;THETA;Mode3/A;FL;TA;TI;BP;RA;TTA;GS;TAR;TAS;HDG;IAS;MACH;BAR;IVV;TN;GS(kt);HDG;STAT
CAT048;20;129;20:00:49:844;41,22373755;2,05659589;701,044070513919;2300,01342830489;5,066406;204,038086;6330;23;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;178,945312;203;0,32;2016;1856;1867;216,26;179,2035;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:50:844;41,45901471;1,6283104;1295,1117578093;4249,05445949105;23,421875;294,082031;7371;42,5;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;74,003906;97;0,16;-256;NV;18;103,84;81,2439;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:52:281;41,35216967;2,23980644;601,956222087145;1974,92205167239;6,957031;63,588867;1000;19,75;4D2049;WMT773;1016;0,176;-114,434;186;-0,062;190;-115,136719;179;0,28;-992;-864;101;186,78;245,6268;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:53:828;41,21967546;2,05669381;739,144843514077;2425,01596839473;5,289062;202,91748;6330;24,25;345218;AEA48JV;1016;1,406;179,121;220;0,094;218;179,121094;205;0,324;2112;2080;1867;219,12;178,9508;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:54:844;41,45944212;1,63083138;1287,49528836459;4224,06604187808;23,328125;294,252319;7371;42,25;342603;BSO1JL;1017;-0,703;NV;100;NV;106;73,476562;97;0,16;-288;NV;18;103,84;80,7001;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:56:281;41,35076576;2,2357174;586,717626996338;1924,92665935467;6,753906;63,533936;1000;19,25;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-115,3125;176;0,276;-960;-832;101;183,7;245,528;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:57:813;41,21558132;2,0567938;784,865662562661;2575,01866036208;5,515625;201,879272;6330;25,75;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;179,121094;205;0,324;2272;2368;1867;222,2;179,2255;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:58:492;41,29703121;2,06158156;-0,00230866298079491;-0,00757435385391116;1,84375;263,155518;1000;-0,75;34310D;BCS55K;1016,2;-0,352;-138,516;0;NV;NV;-113,554688;NV;NV;-32;0;3122;0;0;No alert, no SPI, aircraft airbone
CAT048;20;129;20:00:58:844;41,45994673;1,63321361;1279,87864627037;4199,07705782969;23,242188;294,428101;7371;42;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;72,949219;98;0,16;-320;NV;18;103,62;80,0793;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:00:273;41,34937457;2,23161987;571,478993772529;1874,93114192866;6,550781;63,468018;1000;18,75;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-115,136719;173;0,272;-768;-800;101;179,96;245,7092;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:01:797;41,21151352;2,05690617;830,586517585441;2725,02147035502;5,742188;200,923462;6330;27,25;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;178,59375;205;0,324;2464;2592;1867;223,3;178,9673;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:02:836;41,46044178;1,63559553;1272,26198465191;4174,08800972537;23,15625;294,603882;7371;41,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;71,542969;98;0,16;-320;NV;18;103,18;79,4696;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:04:266;41,34802673;2,22769151;548,620262179524;1799,93530096907;6,355469;63,407593;1000;18;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;169;0,264;-864;-800;101;176,88;245,6049;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:05:781;41,20734401;2,05699925;883,927432110533;2900,02447636552;5,976562;200,028076;6330;29;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;178,769531;206;0,328;2624;2624;1867;224,18;178,9728;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:06:828;41,46102046;1,63794157;1272,26529197954;4174,09886053814;23,074219;294,790649;7371;41,75;342603;BSO1JL;1017;N/A;N/A;N/A;N/A;N/A;71,894531;97;0,16;-128;NV;18;103,18;78,6182;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:08:258;41,34667997;2,22375767;533,381493154913;1749,93933800237;6,160156;63,341675;1000;17,5;4D2049;WMT773;1016;0,176;-114,258;172;0,281;176;-114,960938;167;0,26;-832;-832;101;173,36;245,7971;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:09:766;41,20319183;2,05711822;937,268387431279;3075,02761622004;6,210938;199,193115;6330;30,75;345218;AEA48JV;1016;1,406;179,297;226;0,062;222;178,945312;207;0,332;2592;2464;1867;225,28;179,231;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:10:828;41,4615287;1,640346;1272,26863404177;4174,10982530961;22,988281;294,971924;7371;41,75;342603;BSO1JL;1017;0,703;NV;100;NV;106;71,894531;96;0,156;64;NV;18;102,74;78,1128;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:12:250;41,34541037;2,21996589;518,142645236105;1699,94311619642;5,972656;63,259277;1000;17;4D2049;WMT773;1016;N/A;N/A;N/A;N/A;N/A;-114,960938;165;0,256;-832;-768;101;170,28;245,6927;No alert, no SPI, aircraft airbone
CAT048;20;129;20:01:13:750;41,19900151;2,05717802;982,989385575987;3225,03089577312;6,449219;198,435059;6330;32,25;345218;AEA48JV;1016;N/A;N/A;N/A;N/A;N/A;179,472656;210;0,336;2496;2336;1867;228,14;179,7473;No alert, no SPI, aircraft airbone
